table_name|ordinal_position|column_name|data_type
area_catalog_export_metadata_v1|1|export_layer_id|text
area_catalog_export_metadata_v1|2|layer_view_name|text
area_catalog_export_metadata_v1|3|public_layer_name|text
area_catalog_export_metadata_v1|4|supported_formats|ARRAY
area_catalog_export_metadata_v1|5|requires_ente_scope|boolean
area_catalog_export_metadata_v1|6|attribution_text|text
area_catalog_export_metadata_v1|7|disclaimer_text|text
area_catalog_export_metadata_v1|8|license_name|text
area_catalog_export_metadata_v1|9|license_version|text
area_catalog_export_metadata_v1|10|licensor|text
area_catalog_export_metadata_v1|11|acquisition_reference|text
area_catalog_export_metadata_v1|12|model_name|text
area_catalog_export_metadata_v1|13|model_version|text
area_catalog_export_metadata_v1|14|methodology_title|text
area_catalog_export_metadata_v1|15|methodology_version|text
area_catalog_foundation_v1|1|area_id|text
area_catalog_foundation_v1|2|technical_subtype_id|text
area_catalog_foundation_v1|3|public_area_type|text
area_catalog_foundation_v1|4|technical_description|text
area_catalog_foundation_v1|5|source_layer_version|text
area_catalog_foundation_v1|6|geometric_qc_version|text
area_catalog_foundation_v1|7|geometric_qc_class|text
area_catalog_foundation_v1|8|area_ha|double precision
area_catalog_foundation_v1|9|compactness|double precision
area_catalog_foundation_v1|10|n_points|integer
area_catalog_foundation_v1|11|qc_score|integer
area_catalog_foundation_v1|12|identity_reference_match|boolean
area_catalog_foundation_v1|13|strict_reference_match|boolean
area_catalog_foundation_v1|14|preliminary_catalog_label|text
area_catalog_foundation_v1|15|preliminary_catalog_status|text
area_catalog_foundation_v1|16|is_regionally_scored|boolean
area_catalog_foundation_v1|17|regional_reliability_score|numeric
area_catalog_foundation_v1|18|regional_reliability_class|text
area_catalog_foundation_v1|19|regional_reliability_model_version|text
area_catalog_foundation_v1|20|label_point_geom|USER-DEFINED
area_catalog_foundation_v1|21|centroid_lon|double precision
area_catalog_foundation_v1|22|centroid_lat|double precision
area_catalog_foundation_v1|23|geom|USER-DEFINED
area_catalog_v1_diagnostic|1|area_id|text
area_catalog_v1_diagnostic|2|source_geometry_id|uuid
area_catalog_v1_diagnostic|3|region_code|text
area_catalog_v1_diagnostic|4|region_label|text
area_catalog_v1_diagnostic|5|technical_subtype_id|text
area_catalog_v1_diagnostic|6|technical_subtype_label|text
area_catalog_v1_diagnostic|7|area_type|text
area_catalog_v1_diagnostic|8|area_type_label|text
area_catalog_v1_diagnostic|9|spatial_validation_zone|text
area_catalog_v1_diagnostic|10|candidate_origin|text
area_catalog_v1_diagnostic|11|area_ha|double precision
area_catalog_v1_diagnostic|12|area_bin_raw|text
