feature_1,feature_2,spearman_rho,abs_rho
ndmi_p75,bsi_p25,-0.9947777602950016,0.9947777602950016
ndmi_median,bsi_median,-0.9936610143506696,0.9936610143506696
ndmi_p25,bsi_p75,-0.9924945993911511,0.9924945993911511
ndmi_stddev,bsi_stddev,0.9886682921165679,0.9886682921165679
evi_median,evi_p25,0.972009627182041,0.972009627182041
ndmi_median,bsi_p75,-0.9691388656905898,0.9691388656905898
ndvi_median,ndvi_p25,0.967739526360216,0.967739526360216
ndmi_median,ndmi_p25,0.9663179525248491,0.9663179525248491
bsi_median,bsi_p75,0.965115675460503,0.965115675460503
area_ha_raw,perimeter_m_raw,0.9516681033922413,0.9516681033922413
ndvi_median,evi_median,0.9515727101933998,0.9515727101933998
ndmi_p25,bsi_median,-0.950767964561068,0.950767964561068
ndvi_p25,evi_p25,0.9438221920980542,0.9438221920980542
ndvi_median,bsi_median,-0.9399325882084503,0.9399325882084503
evi_median,bsi_median,-0.9356563908288046,0.9356563908288046
ndvi_median,evi_p25,0.9323696289213531,0.9323696289213531
ndvi_stddev,ndmi_stddev,0.928771942565046,0.928771942565046
evi_p25,bsi_median,-0.9281599557461626,0.9281599557461626
ndvi_p75,bsi_p25,-0.9252748494127805,0.9252748494127805
evi_p25,bsi_p75,-0.9240008481387791,0.9240008481387791
evi_p25,ndmi_median,0.9187667739391877,0.9187667739391877
evi_median,ndmi_median,0.9184836426215737,0.9184836426215737
ndvi_median,ndmi_median,0.91757525550629,0.91757525550629
ndvi_p25,bsi_median,-0.9139992657234036,0.9139992657234036
ndvi_p25,evi_median,0.9135140514450859,0.9135140514450859
ndvi_stddev,bsi_stddev,0.9110254006805731,0.9110254006805731
evi_p25,ndmi_p25,0.9089434261848055,0.9089434261848055
ndvi_p25,bsi_p75,-0.9067468722641137,0.9067468722641137
ndvi_p25,ndmi_median,0.8988555954073195,0.8988555954073195
ndvi_p75,evi_p75,0.8962966549173446,0.8962966549173446
ndvi_p75,ndmi_p75,0.8940882665020596,0.8940882665020596
ndvi_p25,ndmi_p25,0.8856384373625753,0.8856384373625753
evi_median,bsi_p75,-0.8829172208482553,0.8829172208482553
evi_p75,bsi_p25,-0.8816460885426403,0.8816460885426403
ndvi_median,bsi_p75,-0.8812971502626675,0.8812971502626675
evi_median,ndmi_p25,0.86375753272305,0.86375753272305
evi_p75,ndmi_p75,0.8594506732437767,0.8594506732437767
ndvi_median,ndmi_p25,0.8568902982696086,0.8568902982696086
evi_median,evi_p75,0.8310333620678448,0.8310333620678448
ndvi_median,ndvi_p75,0.8037582589306728,0.8037582589306728
ndvi_p75,evi_median,0.8018317466593329,0.8018317466593329
