,area_ha_raw,perimeter_m_raw,compactness_raw,n_points,n_parts,approx_centroid_lat,n_observations,ndvi_median,ndvi_p25,ndvi_p75,ndvi_stddev,evi_median,evi_p25,evi_p75,evi_stddev,ndmi_median,ndmi_p25,ndmi_p75,ndmi_stddev,bsi_median,bsi_p25,bsi_p75,bsi_stddev
area_ha_raw,1.0,0.9516681033922413,-0.5516824482341723,0.6608848216452012,,-0.4387734801527905,-0.275751007759235,0.016806685772203015,0.05835598249391353,0.055288696668007016,0.034927628031076303,0.00464297705677016,0.02765676558780007,0.04112011698218595,0.08497606428640911,-0.005085515430343017,0.03443380684759995,0.04655161206885345,0.0781556298797678,-0.0029104787725477382,-0.055630103905965976,-0.03955437748541197,0.0923493130389682
perimeter_m_raw,0.9516681033922413,1.0,-0.7659287590322074,0.7064027867084686,,-0.4764726213002075,-0.28857220288580865,0.05402545402545403,0.10088861812999744,0.07775110533731223,-0.007427848807159152,0.05357915013087427,0.07845310603931294,0.09211083004186453,0.09445692893968756,0.03342841273875757,0.07814361607465056,0.07915456880974123,0.039165811579604685,-0.042515870102077,-0.08776864638933604,-0.08467984330053295,0.05524243455277938
compactness_raw,-0.5516824482341723,-0.7659287590322074,1.0,-0.5754452377020942,,0.3827500586121276,0.22361226995193403,-0.11289184392632669,-0.15204519342450376,-0.09508039163211578,0.09765905627974593,-0.13232964267447025,-0.1498405705302257,-0.15379544345061585,-0.057500133362202326,-0.09925115442356822,-0.13620418448004654,-0.10855539821057063,0.0664654802585837,0.10731528662563146,0.11327574775850638,0.14258190120259087,0.053218735977356664
n_points,0.6608848216452012,0.7064027867084686,-0.5754452377020942,1.0,,-0.013847056754977199,0.055857648777103974,-0.0033616629309135234,0.029697662823652878,0.009411132049474908,0.020151418731588645,-0.012482039602739343,0.01443789176537112,-0.009074114021543078,0.0016147996012450586,-0.007069937113751615,0.012748498123360092,0.026783922762531165,0.027270487497190923,0.009216846849547194,-0.025566390222144294,-0.01583760590532103,0.03574964231858619
n_parts,,,,,,,,,,,,,,,,,,,,,,,
approx_centroid_lat,-0.4387734801527905,-0.4764726213002075,0.3827500586121276,-0.013847056754977199,,1.0,0.40229503444356485,-0.16121656811311982,-0.18399151502599778,-0.11603067465136431,0.1415865484831002,-0.18792182240458102,-0.2028106924658649,-0.19344960724271068,-0.07681349060659405,-0.0935998246343074,-0.129392536289088,-0.07266567956223129,0.10085580430408017,0.1202858926996858,0.0920758644896576,0.14678099505685713,0.08547275443827168
n_observations,-0.275751007759235,-0.28857220288580865,0.22361226995193403,0.055857648777103974,,0.40229503444356485,1.0,-0.18606208892178785,-0.19992777676144657,-0.1275763251310419,0.11727647390454132,-0.21394661024055497,-0.21923022446529206,-0.22337277814691642,-0.1171435922665645,-0.1975818151042093,-0.22253379468770645,-0.13158250028947951,0.08654405340532892,0.21671166014064225,0.14756425199975434,0.23738533516539162,0.07155461012116039
ndvi_median,0.016806685772203015,0.05402545402545403,-0.11289184392632669,-0.0033616629309135234,,-0.16121656811311982,-0.18606208892178785,1.0,0.967739526360216,0.8037582589306728,-0.5559661766558318,0.9515727101933998,0.9323696289213531,0.7323589599451669,-0.027994227994227995,0.91757525550629,0.8568902982696086,0.6478943789288617,-0.41059321748976924,-0.9399325882084503,-0.6836019180846767,-0.8812971502626675,-0.33155062810235225
ndvi_p25,0.05835598249391353,0.10088861812999744,-0.15204519342450376,0.029697662823652878,,-0.18399151502599778,-0.19992777676144657,0.967739526360216,1.0,0.7264781126850093,-0.6671901637418879,0.9135140514450859,0.9438221920980542,0.6443189270775478,-0.15618260445846652,0.8988555954073195,0.8856384373625753,0.5800104627690834,-0.5118183118183118,-0.9139992657234036,-0.611739280704798,-0.9067468722641137,-0.4334441920648817
ndvi_p75,0.055288696668007016,0.07775110533731223,-0.09508039163211578,0.009411132049474908,,-0.11603067465136431,-0.1275763251310419,0.8037582589306728,0.7264781126850093,1.0,-0.09318812767088629,0.8018317466593329,0.7526500974776836,0.8962966549173446,0.3547308167997823,0.7446989309058275,0.6631764769695804,0.8940882665020596,0.05309770137356344,-0.762069817242231,-0.9252748494127805,-0.6800234179544524,0.14555863521380763
