target_prevalence,population,n,mean_score,median_score,low_n,compatible_n,high_n,very_high_n,very_high_percent,intercept_adjustment
0.3,all_calabria,40261,0.35287767275155785,0.2977550266775774,31689,4436,1210,2926,7.267579046720151,-2.1465808445174646
0.3,central_calabria,19796,0.3390356772531405,0.2823226965850324,15902,2083,564,1247,6.299252374217014,-2.1465808445174646
0.3,north_calabria,9841,0.42597046113600456,0.3925151449923294,6846,1332,396,1267,12.874707854892796,-2.1465808445174646
0.3,south_calabria,10624,0.3109640820508171,0.252432543643218,8941,1021,250,412,3.878012048192771,-2.1465808445174646
0.4,all_calabria,40261,0.4223677684153253,0.39743157046209177,28155,5680,1684,4742,11.778147586994859,-1.7047480922384253
0.4,central_calabria,19796,0.40800430835510815,0.3796258619872077,14175,2757,776,2088,10.547585370781976,-1.7047480922384253
0.4,north_calabria,9841,0.4969856167187582,0.5012701547301592,5920,1522,545,1854,18.83954882633879,-1.7047480922384253
0.4,south_calabria,10624,0.3800131760017309,0.3443772702747838,8060,1401,363,800,7.530120481927711,-1.7047480922384253
0.5,all_calabria,40261,0.4878127940484085,0.49732168628966,24459,6595,2218,6989,17.359231017610096,-1.2992829841302609
0.5,central_calabria,19796,0.4733307097444335,0.47859522873883786,12374,3215,1076,3131,15.816326530612244,-1.2992829841302609
0.5,north_calabria,9841,0.5617156353438171,0.6012187293510128,4996,1675,615,2555,25.96280865765674,-1.2992829841302609
0.5,south_calabria,10624,0.44634154778460716,0.4406849600843853,7089,1705,527,1303,12.264683734939759,-1.2992829841302609
0.6,all_calabria,40261,0.5527438266419686,0.5974260613119624,20623,7093,2577,9968,24.758451106529893,-0.8938178760220967
0.6,central_calabria,19796,0.5385028769915006,0.5792739642439878,10520,3452,1237,4587,23.1713477470196,-0.8938178760220967
0.6,north_calabria,9841,0.6240045419730204,0.6933888979428651,4047,1761,659,3374,34.28513362463164,-0.8938178760220967
0.6,south_calabria,10624,0.5132706658463917,0.5416737080458072,6056,1880,681,2007,18.891189759036145,-0.8938178760220967
0.7,all_calabria,40261,0.6206417330441281,0.697745385631655,16514,7140,2853,13754,34.162092347433,-0.45198512374305744
0.7,central_calabria,19796,0.6070514840313538,0.6817067400605317,8506,3487,1397,6406,32.360072741968075,-0.45198512374305744
0.7,north_calabria,9841,0.687141691849422,0.7786546718972799,3116,1683,690,4352,44.22314805405955,-0.45198512374305744
0.7,south_calabria,10624,0.584365987077824,0.647693301649955,4892,1970,766,2996,28.200301204819276,-0.45198512374305744
0.7857142857142857,all_calabria,40261,0.6849211752387422,0.7839049852776635,12714,6580,3011,17956,44.598991579940886,0.0
0.7857142857142857,central_calabria,19796,0.6723488241296132,0.7709373432362119,6615,3263,1474,8444,42.65508183471408,0.0
0.7857142857142857,north_calabria,9841,0.7450387927221126,0.8468140673834583,2304,1434,708,5395,54.8216644649934,0.0
0.7857142857142857,south_calabria,10624,0.6526607073267003,0.7428625557695181,3795,1883,829,4117,38.75188253012048,0.0
