threshold,selected_n,selected_percent,precision,recall,specificity,npv,f1,tn,fp,fn,tp,youden_j
0.05,401,98.76847290640394,0.7930174563591023,0.9968652037617555,0.04597701149425287,0.8,0.8833333333333333,4,83,1,318,0.0428422152560084
0.06,400,98.52216748768473,0.795,0.9968652037617555,0.05747126436781609,0.8333333333333334,0.8845618915159944,5,82,1,318,0.05433646812957149
0.07,398,98.0295566502463,0.7989949748743719,0.9968652037617555,0.08045977011494253,0.875,0.8870292887029289,7,80,1,318,0.0773249738766979
0.08,397,97.78325123152709,0.801007556675063,0.9968652037617555,0.09195402298850575,0.8888888888888888,0.888268156424581,8,79,1,318,0.08881922675026122
0.09,396,97.53694581280789,0.8005050505050505,0.9937304075235109,0.09195402298850575,0.8,0.8867132867132868,8,79,2,317,0.0856844305120168
0.1,394,97.04433497536947,0.8045685279187818,0.9937304075235109,0.11494252873563218,0.8333333333333334,0.8892005610098177,10,77,2,317,0.1086729362591432
0.11,394,97.04433497536947,0.8045685279187818,0.9937304075235109,0.11494252873563218,0.8333333333333334,0.8892005610098177,10,77,2,317,0.1086729362591432
0.12,393,96.79802955665025,0.8040712468193384,0.9905956112852664,0.11494252873563218,0.7692307692307693,0.8876404494382022,10,77,3,316,0.10553814002089856
0.13,391,96.30541871921181,0.8081841432225064,0.9905956112852664,0.13793103448275862,0.8,0.8901408450704226,12,75,3,316,0.12852664576802497
0.14,391,96.30541871921181,0.8081841432225064,0.9905956112852664,0.13793103448275862,0.8,0.8901408450704226,12,75,3,316,0.12852664576802497
0.15,390,96.05911330049261,0.8102564102564103,0.9905956112852664,0.14942528735632185,0.8125,0.8913963328631875,13,74,3,316,0.1400208986415883
0.16,388,95.56650246305419,0.8144329896907216,0.9905956112852664,0.1724137931034483,0.8333333333333334,0.8939179632248939,15,72,3,316,0.1630094043887147
0.17,387,95.32019704433498,0.8165374677002584,0.9905956112852664,0.1839080459770115,0.8421052631578947,0.8951841359773371,16,71,3,316,0.174503657262278
0.18,387,95.32019704433498,0.8165374677002584,0.9905956112852664,0.1839080459770115,0.8421052631578947,0.8951841359773371,16,71,3,316,0.174503657262278
0.19,387,95.32019704433498,0.8165374677002584,0.9905956112852664,0.1839080459770115,0.8421052631578947,0.8951841359773371,16,71,3,316,0.174503657262278
0.2,385,94.82758620689656,0.8181818181818182,0.987460815047022,0.19540229885057472,0.8095238095238095,0.8948863636363636,17,70,4,315,0.18286311389759669
0.21,385,94.82758620689656,0.8181818181818182,0.987460815047022,0.19540229885057472,0.8095238095238095,0.8948863636363636,17,70,4,315,0.18286311389759669
0.22,385,94.82758620689656,0.8181818181818182,0.987460815047022,0.19540229885057472,0.8095238095238095,0.8948863636363636,17,70,4,315,0.18286311389759669
0.23,383,94.33497536945814,0.8198433420365535,0.9843260188087775,0.20689655172413793,0.782608695652174,0.8945868945868946,18,69,5,314,0.19122257053291536
0.24,382,94.08866995073892,0.819371727748691,0.9811912225705329,0.20689655172413793,0.75,0.8930099857346647,18,69,6,313,0.18808777429467094
